company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
111 gröbl wohnpark gösting entwicklungs gmbh,1,https://firmen.wko.at/111-gr%c3%b6bl-wohnpark-g%c3%b6sting-entwicklungs-gmbh/steiermark/?firmaid=96b4bf5e-62c4-40c9-ba09-5dc6a9fbbcd5&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
1140 Wien Grundstücks- und Vermögensverwaltung GmbH,1,https://firmen.wko.at/1140-wien-grundst%c3%bccks-und-verm%c3%b6gensverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=d028173c-71fb-4901-a955-074e3ba29dc5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
3fach Immobilien OG,1,https://firmen.wko.at/3fach-immobilien-og/wien/?firmaid=6325ad6b-3fdf-4431-a175-13b3a269d1e8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
9022 Projektmanagement GmbH,1,https://firmen.wko.at/9022-projektmanagement-gmbh/k%c3%a4rnten/?firmaid=95a5fa97-a8ca-48fb-9f69-7fc01237a732&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
A & K FALLY Immobilienbesitz & Verwaltung GmbH,1,https://firmen.wko.at/a-und-k-fally-immobilienbesitz-und-verwaltung-gmbh-immobilienverwaltung/wien/?firmaid=707fa7e9-6bad-4a76-a9e7-b07ed8077f95&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
A-Quadrat Immobilien GmbH,1,https://firmen.wko.at/a-quadrat-immobilien-gmbh/k%c3%a4rnten/?firmaid=fbd78c41-34e0-4f01-96e3-f7354b83c656&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
A. Brandstetter & Co. KG.,1,https://firmen.wko.at/a-brandstetter-und-co-kg/wien/?firmaid=742ec8fe-ba10-448a-b4a5-14175ccd0a48&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
A1 Telekom Austria Aktiengesellschaft,1,https://firmen.wko.at/a1-telekom-austria-aktiengesellschaft/wien/?firmaid=409df50b-0022-4db2-b80a-20a2f9d0851b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
A1REAL GmbH,1,https://firmen.wko.at/a1real-gmbh-immobilienmakler-immobilienverwalter/ober%c3%b6sterreich/?firmaid=1b49f1a9-5ef6-4916-864d-70ffff6a82d6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ABM Real Estate GmbH,1,https://firmen.wko.at/abm-real-estate-gmbh/steiermark/?firmaid=e5554c93-0c28-4922-b27f-05092a652539&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
